allergens,sku,vegan,kosher,organic,vegetarian,gluten_free,lactose_free,package_quantity,Unit_size,net_weight
['Leche'],29041,False,False,False,True,True,False,1.0,452.0,452.0
['Milk'],29041,False,False,False,True,True,False,1.0,452.0,452.0
